angry,disgust,fear,happy,sad,surprise,neutral,face_position_x,face_position_y,center_closeness
0.306,0.0,0.001,0.0,0.693,0.0,0.0,720.5,276.5,0.8420474801836942
0.003,0.0,0.002,0.0,0.028,0.0,0.967,527.5,401.5,0.8367016302384939
0.05,0.0,0.005,0.001,0.294,0.0,0.65,745.5,398.5,0.8470583934475749
0.043,0.0,0.01,0.0,0.203,0.0,0.745,787.5,401.5,0.7913298963287455
0.092,0.0,0.074,0.0,0.523,0.0,0.31,736.5,394.5,0.8604366442540796
0.096,0.0,0.012,0.0,0.155,0.0,0.737,615.5,375.5,0.9605184751917185
0.035,0.0,0.003,0.003,0.743,0.0,0.215,641.5,383.5,0.9679317077018454
0.065,0.0,0.032,0.005,0.258,0.005,0.635,649.0,390.0,0.957346019906647
0.255,0.0,0.002,0.007,0.701,0.002,0.033,652.5,390.5,0.9551110007329984
0.043,0.0,0.01,0.001,0.725,0.0,0.22,653.5,390.5,0.9545770780358351
0.123,0.0,0.049,0.001,0.079,0.015,0.732,666.5,393.5,0.941830277487247
0.03,0.0,0.02,0.0,0.455,0.0,0.495,671.0,391.0,0.9402962307777207
0.02,0.0,0.004,0.0,0.074,0.0,0.902,674.5,393.5,0.9345113664244211
0.169,0.0,0.183,0.001,0.556,0.008,0.084,678.5,393.5,0.9304996104017922
0.015,0.0,0.037,0.001,0.902,0.0,0.046,689.5,391.5,0.9200971936852447
0.04,0.0,0.019,0.0,0.135,0.0,0.806,702.0,390.0,0.9062011749296948
0.208,0.0,0.117,0.0,0.59,0.004,0.082,704.0,391.0,0.9031562640187139
0.051,0.0,0.038,0.001,0.555,0.0,0.354,706.0,390.0,0.9012691817074721
0.168,0.0,0.105,0.0,0.522,0.002,0.203,703.0,392.0,0.9037710291191096
0.052,0.0,0.018,0.0,0.203,0.0,0.727,701.0,392.0,0.9061912894024426
0.146,0.0,0.099,0.0,0.483,0.001,0.27,702.0,390.0,0.9062011749296948
0.263,0.0,0.094,0.0,0.424,0.001,0.217,704.0,391.0,0.9031562640187139
0.176,0.0,0.038,0.001,0.346,0.001,0.437,705.0,394.0,0.9001020550435186
0.029,0.0,0.04,0.001,0.55,0.0,0.38,706.0,397.0,0.8969583501569687
0.114,0.0,0.046,0.0,0.337,0.001,0.503,704.5,395.5,0.8997360678853754
0.303,0.0,0.262,0.0,0.301,0.109,0.024,705.0,397.0,0.8981440768530435
0.287,0.0,0.205,0.001,0.399,0.011,0.096,706.0,401.0,0.8941878238707346
0.34,0.0,0.181,0.001,0.288,0.025,0.165,705.0,400.0,0.8960623189453089
0.019,0.0,0.028,0.0,0.865,0.0,0.087,708.0,401.0,0.8918646715538339
0.071,0.0,0.061,0.0,0.449,0.001,0.418,708.0,403.0,0.8904334815810186
0.076,0.0,0.113,0.001,0.324,0.001,0.485,709.0,402.0,0.889994267751192
0.091,0.0,0.099,0.0,0.651,0.0,0.16,707.5,402.5,0.8913727072783474
0.016,0.0,0.016,0.002,0.071,0.0,0.894,707.0,400.0,0.8937330917625333
0.166,0.0,0.098,0.002,0.349,0.002,0.383,707.5,404.5,0.8898973705092766
0.024,0.0,0.023,0.0,0.373,0.0,0.579,706.5,402.5,0.892522688889418
0.021,0.0,0.006,0.0,0.172,0.0,0.801,703.0,395.0,0.9018532256388045
0.137,0.0,0.142,0.002,0.488,0.002,0.229,684.5,383.5,0.9314669933752163
0.009,0.0,0.055,0.004,0.799,0.001,0.131,685.0,370.0,0.937222426465557
0.539,0.001,0.077,0.002,0.091,0.022,0.268,691.5,357.5,0.9297828188955496
0.501,0.0,0.018,0.015,0.144,0.131,0.19,702.5,359.5,0.9148824778227046
0.038,0.0,0.005,0.0,0.0,0.957,0.0,710.5,362.5,0.9039301610983576
0.256,0.0,0.004,0.014,0.0,0.723,0.001,714.5,362.5,0.8984860521781668
0.0,0.0,0.031,0.013,0.0,0.953,0.002,708.0,362.0,0.9073550538161284
0.007,0.0,0.006,0.001,0.0,0.985,0.0,703.0,358.0,0.9141610610379153
0.138,0.0,0.003,0.0,0.0,0.858,0.0,714.5,361.5,0.8985225975660207
0.149,0.0,0.005,0.001,0.0,0.846,0.0,721.0,370.0,0.8888537600866125
0.666,0.001,0.088,0.007,0.065,0.05,0.123,726.0,374.0,0.8813403240592576
0.033,0.0,0.024,0.002,0.0,0.939,0.001,739.5,379.5,0.8619195553352573
0.091,0.0,0.022,0.01,0.005,0.814,0.056,736.5,377.5,0.8664392857473
0.354,0.001,0.117,0.01,0.339,0.057,0.123,743.0,380.0,0.8571109351053453
0.055,0.0,0.031,0.011,0.007,0.779,0.117,739.5,382.5,0.8610759605970385
0.058,0.0,0.029,0.001,0.004,0.879,0.029,743.0,379.0,0.8573642559187415
0.172,0.0,0.157,0.001,0.082,0.568,0.02,743.0,382.0,0.8565668405959863
0.25,0.001,0.363,0.0,0.106,0.274,0.007,740.5,382.5,0.8597473401131328
0.446,0.002,0.158,0.001,0.257,0.1,0.035,739.5,379.5,0.8619195553352573
0.21,0.0,0.277,0.001,0.271,0.211,0.031,741.5,379.5,0.8592457526032078
0.039,0.0,0.049,0.0,0.027,0.88,0.005,734.0,379.0,0.869398504059717
0.875,0.0,0.027,0.001,0.029,0.038,0.03,728.0,375.0,0.8784298446549353
0.699,0.002,0.044,0.004,0.013,0.227,0.011,718.5,372.5,0.8917489660550608
0.097,0.0,0.11,0.045,0.075,0.415,0.258,700.0,362.0,0.9182444114379475
0.041,0.0,0.056,0.003,0.302,0.001,0.597,677.5,362.5,0.9488177602901058
0.048,0.0,0.11,0.015,0.594,0.017,0.215,681.5,361.5,0.9434468685521494
0.105,0.0,0.164,0.003,0.29,0.01,0.427,678.5,365.5,0.94703697891572
0.091,0.0,0.168,0.011,0.342,0.013,0.374,680.0,376.0,0.941330276133969
0.15,0.0,0.103,0.011,0.483,0.017,0.236,689.0,374.0,0.9305997502976127
0.038,0.0,0.092,0.024,0.169,0.005,0.671,696.0,378.0,0.9198943575858258
0.361,0.0,0.131,0.015,0.139,0.075,0.279,701.0,381.0,0.9121430553116583
0.037,0.0,0.115,0.01,0.241,0.015,0.582,707.0,384.0,0.9030796925610258
0.013,0.0,0.01,0.001,0.089,0.001,0.887,704.0,386.0,0.9059247728254004
0.018,0.0,0.059,0.004,0.172,0.002,0.745,704.0,393.0,0.9019382953296821
0.037,0.0,0.058,0.007,0.225,0.002,0.672,707.5,397.5,0.894842741755862
0.177,0.0,0.021,0.002,0.213,0.001,0.585,711.0,398.0,0.8903319684167929
0.189,0.002,0.098,0.068,0.196,0.009,0.438,705.5,393.5,0.8998100839014533
0.019,0.0,0.003,0.002,0.055,0.0,0.922,701.5,389.5,0.9071101526598714
0.137,0.001,0.065,0.011,0.249,0.004,0.532,696.5,391.5,0.9119058956761736
